gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1584375187	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15558	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:NEWRY ISLAND:RESORT BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8543	148.9275					0.0	0.0	2000-01-01T00:00:00Z			2000	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15558				CC_BY_4_0					2019-09-20T23:00:39.114Z		COORDINATE_PRECISION_INVALID
1584375186	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15625	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:SARINA BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-21.3852	149.3128					0.0	0.0	2000-01-01T00:00:00Z			2000	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15625				CC_BY_4_0					2019-09-20T23:00:41.696Z		COORDINATE_PRECISION_INVALID
1584375185	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15585	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Eretmochelys	Eretmochelys imbricata		SPECIES	Eretmochelys imbricata (Linnaeus, 1766)	Eretmochelys imbricata		AU	MTW:RABBIT IS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8302	148.8918					0.0	0.0	1971-01-01T00:00:00Z			1971	8841716	8841716	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15585				CC_BY_4_0					2019-09-20T20:16:33.829Z		COORDINATE_PRECISION_INVALID
1584375184	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15597	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:RABBIT ISLAND:NE BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8315	148.9012					0.0	0.0	2000-01-01T00:00:00Z			2000	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15597				CC_BY_4_0					2019-09-20T23:00:39.886Z		COORDINATE_PRECISION_INVALID
1584375183	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15564	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea		SPECIES	Lepidochelys olivacea (Eschscholtz, 1829)	Lepidochelys olivacea		AU	MTW:NEWRY ISLAND:WEST BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8568	148.9166					0.0	0.0	2000-01-01T00:00:00Z			2000	2442153	2442153	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15564				CC_BY_4_0					2019-09-20T20:33:11.417Z		COORDINATE_PRECISION_INVALID
1584375182	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15586	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Eretmochelys	Eretmochelys imbricata		SPECIES	Eretmochelys imbricata (Linnaeus, 1766)	Eretmochelys imbricata		AU	MTW:RABBIT IS		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8302	148.8918					0.0	0.0	1974-01-01T00:00:00Z			1974	8841716	8841716	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15586				CC_BY_4_0					2019-09-20T20:16:34.009Z		COORDINATE_PRECISION_INVALID
1584375181	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15596	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Eretmochelys	Eretmochelys imbricata		SPECIES	Eretmochelys imbricata (Linnaeus, 1766)	Eretmochelys imbricata		AU	MTW:RABBIT ISLAND:MIDEAST BEAC		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8394	148.9049					0.0	0.0	2001-01-01T00:00:00Z			2001	8841716	8841716	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15596				CC_BY_4_0					2019-09-20T20:16:33.587Z		COORDINATE_PRECISION_INVALID
1584375180	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15633	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:SARINA BEACH:NTH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-21.3802	149.3153					0.0	0.0	2000-01-01T00:00:00Z			2000	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15633				CC_BY_4_0					2019-09-20T23:00:39.311Z		COORDINATE_PRECISION_INVALID
1584375179	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15563	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Natator	Natator depressus		SPECIES	Natator depressus (Garman, 1880)	Natator depressus		AU	MTW:NEWRY ISLAND:WEST BEACH		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8568	148.9166					0.0	0.0	2001-01-01T00:00:00Z			2001	2442173	2442173	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15563				CC_BY_4_0					2019-09-20T23:00:39.688Z		COORDINATE_PRECISION_INVALID
1584375178	71e33e4e-3579-48be-bc68-996e67571072	Marine Turtle Nesting Locations.15591	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	Lepidochelys olivacea		SPECIES	Lepidochelys olivacea (Eschscholtz, 1829)	Lepidochelys olivacea		AU	MTW:RABBIT ISLAND (NW CORNER)		present		5fa89f68-9af0-4a0d-8998-ea39695c1db9	-20.8317	148.8902					0.0	0.0	2000-01-01T00:00:00Z			2000	2442153	2442153	HUMAN_OBSERVATION	ACEF	acef_marine_turtle_nests	15591				CC_BY_4_0					2019-09-20T20:33:11.416Z		COORDINATE_PRECISION_INVALID
