,ID,scientific name,date,coordinates
1690,1584376516,Natator depressus,1998-01-01T00:00:00Z,"152.3833,-21.65"
1691,1584376515,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4428,-20.9103"
1692,1584376514,Chelonia mydas,1998-01-01T00:00:00Z,"152.4167,-21.75"
1693,1584376513,Chelonia mydas,1998-01-01T00:00:00Z,"152.3833,-21.65"
1694,1584376512,Eretmochelys imbricata,2001-01-01T00:00:00Z,"149.4554,-21.7324"
1695,1584376511,Natator depressus,1999-01-01T00:00:00Z,"143.3739,-12.7608"
1696,1584376510,Natator depressus,2001-01-01T00:00:00Z,"149.4841,-21.9808"
1697,1584376509,Lepidochelys olivacea,1999-01-01T00:00:00Z,"141.5462,-15.3585"
1698,1584376508,Natator depressus,2001-01-01T00:00:00Z,"150.4311,-21.7519"
1699,1584376507,Natator depressus,2000-01-01T00:00:00Z,"148.8097,-20.7731"
1700,1584376506,Natator depressus,2000-01-01T00:00:00Z,"148.8378,-20.8268"
1701,1584376505,Lepidochelys olivacea,2000-01-01T00:00:00Z,"148.8097,-20.7731"
1702,1584376504,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.5557,-22.154"
1703,1584376503,Natator depressus,2000-01-01T00:00:00Z,"149.9238,-21.4777"
1704,1584376502,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.1537,-21.5295"
1705,1584376501,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.5587,-22.1651"
1706,1584376500,Natator depressus,2001-01-01T00:00:00Z,"149.4348,-20.9324"
1707,1584376499,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.9333,-21.1044"
1708,1584376498,Caretta caretta,1998-01-01T00:00:00Z,"152.4167,-21.8"
1709,1584376497,Natator depressus,2001-01-01T00:00:00Z,"149.4554,-21.7324"
1710,1584376496,Natator depressus,2001-01-01T00:00:00Z,"149.4265,-20.9162"
1711,1584376495,Natator depressus,2000-01-01T00:00:00Z,"149.4841,-21.9808"
1712,1584376494,Lepidochelys olivacea,1999-01-01T00:00:00Z,"143.3739,-12.7608"
1713,1584376493,Lepidochelys olivacea,1998-01-01T00:00:00Z,"153.14,-26.7883"
1714,1584376492,Natator depressus,2001-01-01T00:00:00Z,"150.4122,-21.7543"
1715,1584376491,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.1485,-21.5233"
1716,1584376490,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4298,-20.9236"
1717,1584376489,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4841,-21.9808"
1718,1584376488,Natator depressus,2001-01-01T00:00:00Z,"148.8378,-20.8268"
1719,1584376487,Eretmochelys imbricata,1998-01-01T00:00:00Z,"153.14,-26.7883"
1720,1584376486,Natator depressus,2001-01-01T00:00:00Z,"150.4347,-21.7731"
1721,1584376485,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.1516,-21.5329"
1722,1584376484,Natator depressus,2001-01-01T00:00:00Z,"150.1485,-21.5233"
1723,1584376483,Natator depressus,1999-01-01T00:00:00Z,"140.4541,-17.6516"
1724,1584376482,Natator depressus,2000-01-01T00:00:00Z,"149.43200000000002,-20.9093"
1725,1584376481,Natator depressus,2000-01-01T00:00:00Z,"149.4298,-20.9236"
1726,1584376480,Eretmochelys imbricata,2001-01-01T00:00:00Z,"150.4347,-21.7731"
1727,1584376479,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.1107,-20.5902"
1728,1584376478,Lepidochelys olivacea,2000-01-01T00:00:00Z,"149.4265,-20.9162"
1729,1584376477,Natator depressus,2000-01-01T00:00:00Z,"148.7229,-20.6348"
