latitude,longitude
-17.2168,139.1775
-21.3295,149.317
-21.3256,149.3207
-16.62,138.0783
-15.5008,141.4812
-21.3295,149.317
-16.7717,138.6317
-17.6897,140.2958
-16.89,138.976
-21.3256,149.3207
-21.3256,149.3207
-21.4713,150.3067
-16.6833,139.85
-9.9486,142.2108
-14.7373,141.5656
-17.6897,140.2958
-15.6594,141.435
-14.7373,141.5656
-11.155,142.7969
-17.1087,139.1472
-21.474,150.3077
-20.6491,148.7322
-16.5967,138.0517
-12.870999999999999,143.532
-10.0598,142.1017
-16.5717,138.0233
-16.0003,141.4028
-16.62,138.0783
-16.6517,138.115
-17.1101,140.9518
-16.8932,139.002
-16.89,138.976
-16.5967,138.0517
-16.7817,138.4802
-16.62,138.0783
-16.7767,138.655
-16.835,138.7517
-10.1828,142.1393
-10.124,142.0719
-10.1112,142.085
-10.129,142.0829
-14.8547,141.5893
-16.835,138.7517
-17.6862,140.31799999999998
-17.6862,140.31799999999998
-20.6271,148.7187
-16.6517,138.115
-10.1975,142.1166
-20.6491,148.7322
-17.2027,139.1708
-16.9303,139.0365
-10.1878,142.1398
-10.0671,142.1054
-17.2168,139.1775
-16.7717,138.6317
-16.7767,138.655
-10.1892,142.1305
-14.8547,141.5893
-10.0599,142.1064
-10.0502,142.1069
-10.2455,142.1175
-16.7767,138.4283
-10.0225,142.1203
-10.2125,142.1507
-10.2403,142.1194
-16.8783,138.9083
-10.2403,142.1111
-10.0777,142.1115
-10.0534,142.1075
-16.7817,138.4802
-10.1952,142.1145
-10.058,142.1054
-10.0698,142.1093
-10.195,142.1307
-10.1949,142.1123
-10.1948,142.1099
-10.0753,142.1102
-10.1342,142.0839
-10.2445,142.1172
-16.8783,138.9083
-10.2617,142.0694
-11.9851,143.217
-10.3552,142.1191
-20.6271,148.7187
-17.1087,139.1472
-10.2421,142.0697
-10.187999999999999,142.1469
-10.0176,142.1222
-10.1878,142.1426
-10.131,142.0836
-10.3528,142.1172
-10.2267,142.1752
-10.0879,142.0899
-10.3516,142.0538
-10.2412,142.1199
-10.0689,142.1086
-10.2493,142.0772
-10.2148,142.1553
-10.2432,142.1182
-17.1101,140.9518
-10.2161,142.1545
-10.2393,142.1174
-10.129,142.0829
-10.2098,142.1669
-10.1847,142.1721
-10.179,142.1747
-10.2428,142.071
-9.9635,142.2086
-10.2395,142.0803
-10.1112,142.085
-10.0534,142.1075
-10.0753,142.1102
-10.1876,142.128
-10.1857,142.1676
-10.2493,142.1084
-10.1865,142.1398
-10.3535,142.0497
-9.9486,142.2108
-10.0879,142.0899
-10.1342,142.0839
-10.2363,142.10399999999998
-10.0502,142.1069
-10.1878,142.1398
-11.9073,143.129
-10.3581,142.0429
-10.2321,142.0617
-10.3561,142.1043
-10.1828,142.1393
-10.2596,142.0695
-10.2372,142.0702
-10.2505,142.1105
-11.8952,143.1074
-10.2125,142.1507
-10.179,142.1747
-10.2267,142.1752
-10.0598,142.1017
-10.1878,142.14600000000002
-10.2593,142.0582
-10.2479,142.1183
-10.2644,142.0613
-9.9635,142.2086
-10.2393,142.1174
-10.0176,142.1222
-10.0225,142.1203
-10.2124,142.1529
-10.2479,142.1183
-10.2161,142.1545
-14.3717,141.5526
-10.124,142.0719
-10.0671,142.1054
-10.2421,142.0697
-10.058,142.1054
-10.131,142.0836
-10.195,142.1307
-10.0599,142.1064
-11.8766,142.9034
-10.2505,142.1105
-10.2124,142.1529
-10.2593,142.0582
-10.2493,142.1084
-10.1975,142.1166
-10.0689,142.1086
-10.2148,142.1553
-10.1878,142.1426
-17.6525,140.455
-10.2098,142.1669
-10.2455,142.1175
-10.0698,142.1093
-10.1876,142.128
-17.3473,139.2873
-10.2412,142.1199
-10.187999999999999,142.1469
-10.1952,142.1145
-10.1865,142.1398
-21.9862,149.8107
-10.2428,142.071
-10.1949,142.1123
-10.1892,142.1305
-17.6167,139.9095
-10.2432,142.1182
-17.3583,139.31
-10.1878,142.14600000000002
-10.2596,142.0695
-10.3581,142.0429
-10.1857,142.1676
-10.3552,142.1191
-10.3514,142.1065
-10.2395,142.0803
-10.2644,142.0613
-11.8952,143.1074
-16.7167,138.3333
-10.1948,142.1099
-10.1847,142.1721
-17.7068,140.1588
-21.9862,149.8107
-11.8766,142.9034
-10.3516,142.0538
-10.2363,142.10399999999998
-10.3535,142.0497
-14.3717,141.5526
-9.7783,143.4417
-10.3561,142.1043
-11.9851,143.217
-17.43,139.5067
-21.9901,149.8132
-22.0778,149.5163
-17.6017,139.8533
-10.0777,142.1115
-10.2372,142.0702
-10.2493,142.0772
-21.9901,149.8132
-21.895,149.8028
-10.2403,142.1194
-22.0778,149.5163
-22.0301,150.1005
-17.6167,139.9095
-11.9073,143.129
-10.2321,142.0617
-21.9862,149.8107
-9.7783,143.4417
-22.0301,150.1005
-22.0333,150.0977
-21.9862,149.8107
-16.7167,138.3333
-21.9901,149.8132
-10.8833,142.0333
-17.6017,139.8533
-9.7783,143.4417
-22.0333,150.0977
-17.3473,139.2873
-10.1083,143.32
-10.3528,142.1172
-9.8567,142.915
-9.7533,143.4083
-9.8567,142.915
-10.3514,142.1065
-10.1083,143.32
-10.2403,142.1111
-17.298,139.2183
-22.0778,149.5163
-9.75,143.4167
-17.7068,140.1588
-21.895,149.8028
-10.8832,142.0333
-9.75,143.4167
-10.3254,142.0819
-10.7217,142.295
-10.7217,142.295
-10.7333,142.15
-9.75,143.4167
-10.8833,142.0333
-9.7783,143.4417
-9.95,144.0333
-10.1083,143.32
-17.298,139.2183
-17.43,139.5067
-10.3254,142.0819
-17.3583,139.31
-10.175,143.2267
-10.8832,142.0333
-9.95,144.0333
-10.8833,142.0333
-10.2445,142.1172
-9.905,142.7733
-21.895,149.8028
-21.9901,149.8132
-10.7217,142.295
-9.75,143.4167
-10.685,142.5278
-10.8833,142.0333
-10.7167,142.15
-10.55,142.3467
-10.685,142.5278
-9.4833,143.8667
-10.8833,142.0333
-10.685,142.5278
-11.2417,142.1183
-21.895,149.8028
-10.7333,142.15
-9.95,144.0333
-9.8567,142.915
-9.905,142.7733
-10.4617,142.4367
-9.7533,143.4083
-10.2617,142.0694
-9.4833,143.8667
-9.7533,143.4083
-10.5367,142.305
-11.2417,142.1183
-9.4783,143.855
-10.1083,143.32
-10.175,143.2267
-9.905,142.7733
-10.7167,142.15
-22.0778,149.5163
-10.36,142.0533
-9.4783,143.855
-11.2417,142.1183
-10.5533,142.345
-10.2,142.8167
-10.4617,142.4483
-10.8833,142.0333
-10.36,142.0533
-10.175,143.2267
-9.8,142.975
-10.685,142.5278
-10.5533,142.345
-10.5367,142.305
-9.4783,143.855
-10.5483,142.3517
-10.55,142.3467
-10.5483,142.3517
-10.175,143.2267
-9.95,144.0333
-10.5483,142.3517
-9.5633,142.2833
-10.4617,142.4367
-10.4617,142.4367
-9.4833,143.8667
-10.1617,142.5083
-9.75,143.4167
-10.4617,142.4483
-9.825,141.425
-9.8,142.975
-10.55,142.3467
-9.4783,143.855
-10.5367,142.305
-9.9883,143.1167
-10.36,142.0533
-10.5567,142.3583
-10.5803,142.2178
-9.5167,143.55
-10.5533,142.345
-9.5167,143.5467
-10.1617,142.5083
-10.7333,142.15
-10.1617,142.5083
-9.5633,142.2833
-10.5567,142.3583
-9.7667,143.325
-10.5242,142.2917
-10.5803,142.2178
-10.1467,142.675
-9.8239,141.4267
-9.5633,142.2833
-10.745,142.2217
-10.745,142.2217
-10.7167,142.15
-9.5167,143.5467
-10.9817,142.125
-9.8,142.975
-9.825,141.425
-9.8239,141.4267
-9.7667,143.2667
-10.8517,142.0233
-10.7033,142.1133
-9.5167,143.55
-9.5167,143.5467
-9.7667,143.2667
-9.9883,143.1167
-9.8,142.975
-10.1467,142.675
-10.9817,142.125
-9.7667,143.2667
-10.5567,142.3583
-10.7082,142.27700000000002
-9.825,141.425
-10.8517,142.0233
-10.2117,142.82
-10.4617,142.4483
-10.2117,142.82
-10.9817,142.125
-10.5995,142.636
-9.7667,143.325
-9.5167,143.55
-9.7667,143.2583
-10.8467,142.355
-10.2,142.8167
-10.8513,142.024
-10.7153,142.4083
-10.8513,142.024
-10.2117,142.82
-10.7267,142.3983
-10.91,142.25
-10.7267,142.3983
-10.7248,142.3984
-10.7033,142.1133
-10.8517,142.0233
-10.2367,142.4883
-10.8467,142.355
-10.17,142.83
-10.745,142.2217
-10.2,142.8167
-10.0217,142.12
-9.9883,143.1167
-9.7667,143.2583
-10.7699,142.1817
-10.5995,142.636
-9.5167,143.55
-9.7667,143.325
-10.2367,142.4883
-10.8406,142.3175
-10.1467,142.675
-9.9267,144.045
-10.7248,142.3984
-10.8467,142.355
-10.5995,142.636
-10.8513,142.024
-10.7248,142.3984
-10.17,142.83
-9.5167,143.2867
-9.7667,143.2583
-10.7153,142.4083
-9.9267,144.045
-10.6567,142.65
-9.95,144.045
-10.8406,142.3175
-9.95,144.045
-10.6333,142.65
-9.5167,143.2867
-10.7033,142.1133
-10.7082,142.27700000000002
-9.9883,143.1167
-10.7267,142.3983
-10.6333,142.65
-10.6333,142.65
-9.9267,144.045
-9.95,144.045
-10.7699,142.1817
-10.17,142.83
-9.9417,144.0267
-9.9417,144.0267
-10.6433,142.68
-10.2367,142.4883
-9.9417,144.0267
-10.6567,142.65
-10.7153,142.4083
-9.9567,143.3967
-9.7167,143.3617
-10.055,143.1167
-9.9417,144.0267
-10.055,143.1167
-9.5167,143.2867
-10.8406,142.3175
-10.0217,142.12
-10.91,142.25
-10.255,142.4133
-10.7699,142.1817
-9.95,143.4
-10.1917,142.2667
-9.9567,143.3967
-9.95,143.4
-10.6433,142.68
-10.405,143.1083
-10.6433,142.68
-9.95,143.4
-9.9267,144.045
-9.95,144.045
-10.405,143.1083
-10.255,142.4133
-10.1033,142.82
-9.7983,142.645
-10.0367,142.8467
-9.9567,142.175
-10.0367,142.8467
-10.91,142.25
-10.1033,142.82
-10.255,142.4133
-9.7983,142.645
-10.6333,142.65
-10.03,142.85
-10.6567,142.65
-10.0217,142.12
-10.6,142.6167
-10.03,142.85
-9.9167,144.0667
-9.9567,142.175
-10.6333,142.65
-10.0367,142.8467
-10.1917,142.2667
-9.6117,141.5679
-9.9568,142.1792
-10.6567,142.65
-9.9167,144.0667
-10.6133,142.6067
-9.9167,144.0667
-9.7983,142.645
-10.055,143.1167
-9.8633,143.3067
-10.6098,142.6143
-10.6,142.6167
-10.1383,143.3333
-10.1917,142.2667
-10.405,143.1083
-9.9167,144.0667
-10.6333,142.65
-10.295,142.1
-10.1383,143.3333
-10.6167,142.6
-9.8633,143.3067
-9.95,143.4
-10.595,142.615
-9.7167,143.3617
-9.8633,143.3067
-9.7167,143.3617
-9.61,141.5683
-9.825,143.4083
-10.6098,142.6143
-10.6133,142.6067
-9.9567,142.175
-9.7167,143.3617
-9.8167,143.4167
-10.1033,142.82
-9.6933,143.4283
-9.825,143.4083
-10.6098,142.6143
-9.8167,143.4167
-9.6933,143.4283
-9.9568,142.1792
-10.6,142.6167
-9.825,143.4083
-10.03,142.85
-9.9567,143.3967
-9.6833,143.4333
-9.61,141.5683
-10.6,142.6167
-10.66,142.755
-10.595,142.615
-9.8167,143.4167
-10.66,142.755
-10.5617,142.2
-9.8167,143.4167
-10.1383,143.3333
-9.8633,143.3067
-10.6,142.6167
-10.5657,142.1543
-9.8167,143.4167
-10.295,142.1
-9.6933,143.4283
-10.57,142.1567
-10.9233,142.215
-11.0833,142.15
-10.5617,142.2
-10.595,142.615
-10.6,142.6167
-10.3883,142.1283
-9.6117,141.5679
-10.5657,142.1543
-10.6133,142.6067
-10.9233,142.215
-10.66,142.755
-10.6167,142.6
-10.4983,142.445
-10.5617,142.2
-10.2583,143.1083
-10.374,142.1321
-10.57,142.1567
-10.57,142.1567
-10.295,142.1
-10.5984,142.1646
-9.6833,143.4333
-9.61,141.5683
-10.0833,142.15
-9.77,142.65
-9.6833,143.4333
-10.6842,142.5324
-10.2583,143.1083
-10.685,142.5267
-9.825,143.4083
-10.9233,142.215
-10.4983,142.445
-10.6167,142.6
-9.4,144.2167
-9.6933,143.4283
-10.0833,142.15
-10.1633,142.5167
-9.6833,143.4333
-9.52,141.57
-9.4,144.2167
-10.2583,143.1083
-10.0833,142.15
-10.685,142.5267
-10.374,142.1321
-10.4983,142.445
-11.0833,142.15
-10.6083,142.3
-10.5233,143.095
-9.925,144.05
-9.52,141.57
-10.66,142.755
-10.374,142.1321
-9.9983,143.03
-10.3883,142.1283
-10.5167,143.0667
-9.77,142.65
-10.5167,143.0667
-11.0833,142.15
-10.7634,142.3711
-9.8167,143.4167
-9.5833,143.7667
-10.1633,142.5167
-10.5233,143.095
-10.685,142.5267
-10.2367,142.075
-9.5667,144.0
-9.9983,143.03
-10.6083,142.3
-9.9983,143.03
